description,brand,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Pecanas Peladas BELL'S Táper 100g,BELL'S,S/ 13.70,vivanda,PECANAS,2024-12-04 17:52:15.225790,100.0,g,13.7
Pecanas Peladas VILLA NATURA Bolsa 100g,VILLA NATURA,S/ 14.50,vivanda,PECANAS,2024-12-04 17:52:15.225790,100.0,g,14.5
Pecana Pelada VALLEALTO Bolsa 90g,VALLEALTO,S/ 13.40,vivanda,PECANAS,2024-12-04 17:52:15.225790,90.0,g,13.4
Pecanas Peladas VALLE ALTO Bolsa 135g,VALLEALTO,S/ 16.50,vivanda,PECANAS,2024-12-04 17:52:15.225790,135.0,g,16.5
Pecana Pelada VILLA NATURA Bolsa 60g,VILLA NATURA,S/ 7.90,vivanda,PECANAS,2024-12-04 17:52:15.225790,60.0,g,7.9
Pecanas Peladas VILLA NATURA Bolsa 180g,VILLA NATURA,S/ 25.10,vivanda,PECANAS,2024-12-04 17:52:15.225790,180.0,g,25.1
Cereal CROSOY Granola manzana pecana y canela Bolsa 380Gr,CROSOY,S/ 14.20,vivanda,PECANAS,2024-12-04 17:52:15.225790,380.0,g,14.2
Galletas con Pecanas ANA AVELLANA Pote 320g,ANA AVELLANA,S/ 24.90,vivanda,PECANAS,2024-12-04 17:52:15.225790,320.0,g,24.9
Piqueo VILLA NATURA Pasas Maní Almendra Pecanas y Nueces Táper 250g,VILLA NATURA,S/ 12.90,vivanda,PECANAS,2024-12-04 17:52:15.225790,250.0,g,12.9
Bolitas de Cereal TRUBALLS Pecanas y Naranja Doypack 90g,TRUBALLS,S/ 9.60,vivanda,PECANAS,2024-12-04 17:52:15.225790,90.0,g,9.6
Chocolate Milky LA IBÉRICA Pecanas y Pasas Caja 100g,LA IBERICA,S/ 20.20,vivanda,PECANAS,2024-12-04 17:52:15.225790,100.0,g,20.2
Chocotejas de Pecana HELENA Caja 180g,HELENA,S/ 33.50,vivanda,PECANAS,2024-12-04 17:52:15.225790,180.0,g,33.5
Chocolate ORQUIDEA Con pecanas Envoltura 90g,ORQUIDEA,S/ 17.50,vivanda,PECANAS,2024-12-04 17:52:15.225790,90.0,g,17.5
Queso Crema Gourmet DELICE con Pecanas Paquete 150g,DELICE,S/ 16.90,vivanda,PECANAS,2024-12-04 17:52:15.225790,150.0,g,16.9
Granola WASI ORGANICS Pecanas Caja 300g,WASI,S/ 20.00,vivanda,PECANAS,2024-12-04 17:52:15.225790,300.0,g,20.0
Chocolate en Barra LA IBÉRICA Milky Pecanas y Pasas Paquete 50g,LA IBERICA,S/ 8.50,vivanda,PECANAS,2024-12-04 17:52:15.225790,50.0,g,8.5
Piqueo BELL'S Pecanas Peladas Bolsa 80g,BELL'S,S/ 11.90,vivanda,PECANAS,2024-12-04 17:52:15.225790,80.0,g,11.9
Piqueo VILLA NATURA Pasas Almendras Pecanas Nueces y Anacardos Táper 250g,VILLA NATURA,S/ 19.00,vivanda,PECANAS,2024-12-04 17:52:15.225790,250.0,g,19.0
Bombones HELENA Peccanroll Bitter con Pecanas Caja 100g,HELENA,S/ 17.00,vivanda,PECANAS,2024-12-04 17:52:15.225790,100.0,g,17.0
Piqueos VILLA NATURA Pecanas Peladas Pote 100g,VILLA NATURA,S/ 14.50,vivanda,PECANAS,2024-12-04 17:52:15.225790,100.0,g,14.5
Tableta de Chocolate MILKY con Pecanas Paquete 100g,LA IBERICA,S/ 19.90,vivanda,PECANAS,2024-12-04 17:52:15.225790,100.0,g,19.9
